,,,,,,,,,,17.11 - 16.20,,19.11 - 11.30,,20.11 - 11.30,,22.11 - 10.15,,23.11 - 13.15,,28.11 - 23.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Наименование на складе ВиДринк,Наименовани наше,Фасовка на складе ВиДринк,Вес в коробке,Цена,Отправили,Общий вес,Упаковка вес,Количество,Общий вес,Количество,Общий вес,Количество,Общий вес,Количество,Общий вес,Количество,Общий вес,Количество,Общий вес,Ушло с 23 по 28 (6 дней),За день среднее,Придет 29 ноября,Ушло с 17-11.30 до 23-13.15,За день среднее,Хватит на дней,Заказ на 14 дней,За вычетом в наличии,В коробках,Ушло за 1 субботу,Хватит на дней,Заказ на 7 дней,Приходило в упаковка 19.11,По весу,Приходило в упаковка 21.11,По весу,,"Уходит за день (учет 4,5 дня)",За 5 дней,За день (5дн),В кор за 5дн,На 10 дней закуп,Хватит на дней,Хватит на дней,Заказ на 2 недели,Отправили,В коробках,Сумма
,草莓果浆 клубничное варенье,Концентрат клубничного сока 2 кг,2 кг * 6 бан./кор.,12,18 200 ,2,24,2,7,14,7,14,19,38,22,44,20,40,12,24,16,"2,666666667",,10,2,9,"37,33333333","13,33333333","1,1",4,10,,12,24,6,12,,0,10,2,"1,666666667",20,7,#DIV/0!,0,2,1,18200
,蓝莓果浆 черничная мякоть,Концентрат напитка с кусочками черники 2 кг,2 кг * 6 бан./кор.,12,25 200 ,2,24,2,7,14,7,14,19,38,23,46,22,44,19,38,6,1,,6,"1,2",38,14,-24,"-2,0",2,22,,12,24,6,12,,0,10,2,"1,666666667",20,7,#DIV/0!,0,2,1,25200
,蜜桃冻 Персиковое желе,Персиковое желе 1 л,1 л * 10 кор./кор.,10,11 200 ,2,20,1,15,15,15,15,15,15,15,15,15,15,13,13,2,"0,3333333333",,0,0,39,"4,666666667","-8,333333333","-0,8",0,#DIV/0!,,,0,,0,,0,5,1,1,10,15,#DIV/0!,0,2,,0
,红豆罐头 консервированная красная фасоль,Фасоль 900 г ,"0,9 кг * 12 бан./кор.","10,8",14 000 ,3,"32,4","0,9",30,27,30,27,30,27,35,"31,5",33,"29,7",38,"34,2","-4,5","-0,75",,"8,1","1,62","-45,6","-10,5","-44,7","-4,1","1,8","16,5",,,0,12,"10,8",,0,"5,4","1,08",1,"10,8",25,#DIV/0!,0,3,1,14000
,卡布奇诺 капучино,Каппучино порошок,1 кг * 20 уп./кор.,20,52 500 ,1,20,,,,,,,,,0,,0,,0,0,0,20,0,0,#DIV/0!,0,0,"0,0",0,,,,0,,0,,,20,4,2,40,0,,,1,2,105000
,抹茶冰淇淋粉 Порошок для мороженого Матча,Матча мороженое,3 кг * 8 пак./кор.,24,63 000 ,,0,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,0,0,0,0,#DIV/0!,,,,2,126000
,奥利奥碎屑 Орео Крамбл,Орео крошка для топинга,"0,454 кг * 24 уп./кор.","10,896",,,0,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,0,0,0,0,#DIV/0!,,,,2,0
,茉上青风 Прохладный ветерок на Мошанге,Жасминовый чай,"0,05 кг * 160 уп./кор.",8,95 200 ,3,24,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,24,"4,8",6,48,0,,,3,0,0
,梅占红茶 Черный чай Мэйжан,Черный чай,"0,1 кг * 120 уп./кор.",12,101 500 ,3,36,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,36,"7,2",6,72,0,,,3,0,0
,WE.500-90塑杯（PP杯）Стакан пластиковый WE.500-90 (стакан ПП),Стакан 500,1000 шт./кор.,1000,21 000 ,0/5,#VALUE!,,,,-,,,,,0,8,0,7,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,4,0/5,0,84
,WE.700-90塑杯（PP杯）Пластиковый стакан WE.700-90 (стакан ПП),Стакан 700,1000 шт./кор.,1000,27 300 ,5,5000,,,,2 кор и 18упак,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,5000,1000,10,10000,0,,1,5,1,27300
,吨吨桶（新）Тонна тонна бочка (новая),Стакана большой 900мл,200 компл./кор.,200,21 840 ,2,400,,,,300,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,400,80,4,800,0,,1,2,1,21840
,U型杯 U-образная чашка,Стакан U,1000 шт./кор.,1000,21 000 ,0/2,#VALUE!,,,,-,,,,,0,5,0,4,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,5,,0,105
,纸膜粗吸管 Соломинки из бумажной пленки,Толстые бумажные трубочки,4000 шт./кор.,4000,22 400 ,3,12000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,12000,2400,6,24000,,,1,,1,22400
,纸膜细吸管 трубочки из бумажной пленки,Тонкие бумажные трубочки,5000 шт./кор.,5000,14 700 ,2,10000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,10000,2000,4,20000,,,,,0,0
,WE. 球形盖（90）WE. Сферическая крышка (90),Крышка купольная 90,2000 шт./кор.,2000,22 400 ,2,4000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,4000,800,4,8000,,,,,0,0
,WE.大长勺 WE.Ковш,большая длинная ложка,2000 шт./кор.,2000,26 600 ,2,4000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,4000,800,4,8000,,,,,0,0
,WE.专用勺 WE.специальная ложка,"Специальная ложка (маленькая, дегустационная)",1000 шт./кор.,1000,8 400 ,2,2000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,2000,400,4,4000,,,,,0,0
,WE.封口膜 WE.уплотнительная пленка,Плёнка для запайки стаканов,12 рул./кор.,12,68 600 ,1,12,,,,,,8,,,0,8,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,12,"2,4",2,24,,,,,0,0
,WE.单杯袋 WE.сумка на одну чашку,Пакет для одной чашки,10000 шт./кор.,10000,52 500 ,2,20000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,20000,4000,4,40000,,,,,0,0
,WE.双杯袋 WE.Сумка на двойную чашку,Пакет для одной чашки,5000 шт./кор.,5000,47 600 ,2,10000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,10000,2000,4,20000,,,,,0,0
, 四杯袋 сумка на четыре чашки ,Пакет для четырёх чашек, 3000 шт./кор. ,  3 000 ,49 000 ,2,6000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,6000,1200,4,12000,,,,,0,0
,16A中空纸杯 16A Полый бумажный стаканчик,Бумажный стакан,500 шт./кор.,500,31 500 ,2,1000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,1000,200,4,2000,,,,,0,0
,90注塑防漏连体盖-黑 90 литая герметичная цельная крышка - черная,Крышка 90 пластик для бумажного стакана,1000 шт./кор.,1000,17 500 ,1,1000,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,"0,0",0,,,,0,,0,,,1000,200,2,2000,,,,,0,0
,夏装T-shirt,10 ,个 Шт.,,,,,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,#DIV/0!,0,,,,0,,0,,,0,0,#DIV/0!,0,,,,,#DIV/0!,
,冬帽 Зимняя шапка,5 ,个 Шт.,,,,,,,,,,,,,0,,0,,0,0,0,,0,0,,0,0,#DIV/0!,0,,,,0,,0,,,0,0,#DIV/0!,0,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Сумма,1523529
